workOrderAssignmentId,workOrderId,assignedToUserId,createdTimestampUtc,createdByUserId,isDeleted,deletedByUserId,deletedTimestampUtc,uuid
44612,99599,15444,"2026-08-17 16:23:04",16222,0,NULL,NULL,eaa8c307-c291-4b47-abc5-45809b33d341
44741,98686,15513,"2026-08-18 15:17:16",16222,0,NULL,NULL,50c0bb3b-ce0f-4603-961f-1fdb0cf76ffb
43928,98750,15704,"2026-08-10 18:58:44",16222,0,NULL,NULL,483642a8-8ee6-461c-8051-1cd5db3544ee
44595,98951,15704,"2026-08-17 15:22:32",16222,0,NULL,NULL,c8a903af-a9df-4f92-a13e-bef4b3c926c9
44684,98953,15481,"2026-08-17 21:10:19",16222,0,NULL,NULL,a28c9172-d519-463c-b8d8-fa47769cd13c
44637,99620,15709,"2026-08-17 16:41:16",16222,0,NULL,NULL,fb76573a-a40a-45d8-87f8-1f941bb82c11
44604,99588,15444,"2026-08-17 16:10:36",16222,0,NULL,NULL,2737a0c4-74b2-4e53-8eda-6a0d4ec5b738
44606,99590,15444,"2026-08-17 16:17:02",16222,0,NULL,NULL,d8f707c8-bff5-4e02-8a59-9b47ed42a0bb
44585,99550,16382,"2026-08-17 13:39:59",16382,0,NULL,NULL,88845e38-5780-45e3-a6c6-f749305bd3a6
44586,99550,15376,"2026-08-17 13:39:59",16382,0,NULL,NULL,ab277e0d-242a-4421-bddd-4567ebcd9054
44257,99159,15376,"2026-08-12 20:28:34",16222,0,NULL,NULL,0f66c638-e4d4-436f-99e8-3fbb16ef63cd
44256,99160,15376,"2026-08-12 20:28:05",16222,0,NULL,NULL,ff696938-abab-4ac1-8aef-30791a56515b
44694,99767,16122,"2026-08-18 02:56:34",16222,0,NULL,NULL,b0bce684-0b43-4325-80b9-3473cd54856a
43864,98681,15668,"2026-08-10 16:53:37",16222,0,NULL,NULL,c30680f5-4734-48f6-9514-33676a00e4a4
44740,99831,15513,"2026-08-18 15:14:16",16222,0,NULL,NULL,9682df28-c9a9-42bf-ab35-dddc3d4449cc
44581,99546,16382,"2026-08-17 13:30:16",16382,0,NULL,NULL,4b035cbc-a122-4667-a43a-f2fdbb548d32
44582,99546,15376,"2026-08-17 13:30:16",16382,0,NULL,NULL,7f77a681-52cb-4c4b-8870-53fa521bd0c7
44795,99939,15668,"2026-08-18 20:23:44",16222,0,NULL,NULL,c497d822-0470-4be0-8431-9013697256b1
44796,99940,15444,"2026-08-18 20:24:52",16222,0,NULL,NULL,4dc20639-5d52-4849-b7d2-00763c43034b
44784,99912,15376,"2026-08-18 18:54:44",16222,0,NULL,NULL,eccea953-53eb-4423-9c0a-a82f4122d526
44764,99878,16122,"2026-08-18 16:57:37",16222,0,NULL,NULL,197a4700-930e-47c0-a63d-974b47aefd03
44797,99941,15692,"2026-08-18 20:32:28",16222,0,NULL,NULL,e3859fec-f043-47e2-a3dc-bee64185f825
44798,99942,15692,"2026-08-18 20:34:19",16222,0,NULL,NULL,b84c7db7-1bd7-4cab-9813-6506806f7b45
44765,99882,15513,"2026-08-18 17:03:44",15513,0,NULL,NULL,68ac8296-c92a-42a2-94af-52feaa3dadd0
44766,99887,15513,"2026-08-18 17:21:08",15513,0,NULL,NULL,e984916f-5b35-4a4c-88e5-9df0b0171d1a
44255,99161,15376,"2026-08-12 20:27:28",16222,0,NULL,NULL,22f7ae7b-5afd-4bd7-9d6f-38a7a807c2b2
