equipmentGroupId,equipmentGroupShortName,equipmentGroupLongName,equipmentGroupDescription,companyId,equipmentClassId,isDeleted,createdTimestampUtc,createdByUserId,equipmentGroupColor,uuid
4374,"Barge Crane Set 40 x 80 - 451","Barge Crane Set 40 x 80","Barge Crane Set 40 x 80",265,0,0,"2026-07-15 20:18:23",45,NULL,cfa8f00f-8276-4131-b59f-e0197e5d4bb7
4375,"Vehicle - Passenger Van - 973","Vehicle - Passenger Van","Vehicle - Passenger Van",265,0,0,"2026-07-15 20:18:23",45,NULL,c08ac03a-3d4c-4dd0-8c0a-3224ac187a24
4376,"Rotec Conveyor System - 880","Rotec Conveyor System","Rotec Conveyor System",265,0,0,"2026-07-15 20:18:23",45,NULL,f359293e-d381-4586-8a35-4f5d88863b37
4377,"xAir Tuggers - 896","xAir Tuggers","xAir Tuggers",265,0,0,"2026-07-15 20:18:23",45,NULL,416961ca-e09f-49e1-a090-5f4ec128d37c
4378,"Vibratory Hammer/Extr V30 - 352","Vibratory Hammer/Extr V30","Vibratory Hammer/Extr V30",265,0,0,"2026-07-15 20:18:23",45,NULL,f9772aa4-2679-4e04-bdb3-3a68a2d00171
4379,"Crane Crawler - 150 Ton - 135","Crane Crawler - 150 Ton","Crane Crawler - 150 Ton",265,0,0,"2026-07-15 20:18:24",45,NULL,ba464444-388f-478c-a048-157260c042ca
4380,"Railroad Truck - 938","Railroad Truck","Railroad Truck",265,0,0,"2026-07-15 20:18:24",45,NULL,8cd50897-0745-4ef3-ae23-cec268386265
4381,"Excavator 15,000-30,000# - 228","Excavator 15,000-30,000#","Excavator 15,000-30,000#",265,0,0,"2026-07-15 20:18:24",45,NULL,557758ea-5b90-4d55-a615-9e346a1165c1
4382,"Barge Section Shugart (10x20) - 462","Barge Section Shugart (10x20)","Barge Section Shugart (10x20)",265,0,0,"2026-07-15 20:18:24",45,NULL,68218245-f55c-4851-bbd7-ce362557fee3
4383,"Inventory Fabrication - 999","Inventory Fabrication","Inventory Fabrication",265,0,0,"2026-07-15 20:18:24",45,NULL,04396c99-5228-46aa-8323-d0ddddefe18b
4384,"Forklift (20K Telehander) - 306","Forklift (20K Telehander)","Forklift (20K Telehander)",265,0,0,"2026-07-15 20:18:24",45,NULL,8f9299ed-50f9-4517-b0aa-c4f32c05129b
4385,"Attach Ripper 51" - 248","Attach Ripper 51"","Attach Ripper 51"",265,0,0,"2026-07-15 20:18:24",45,NULL,7c93c81a-46c3-4e89-8102-eee9e9d43ea3
4386,"Office/Tool Container 8'x40' - 933","Office/Tool Container 8'x40'","Office/Tool Container 8'x40'",265,0,0,"2026-07-15 20:18:24",45,NULL,d55366a5-02bb-4e9d-bb20-6f974e81a77a
4387,"Exc. Processor UP 90 - 254","Exc. Processor UP 90","Exc. Processor UP 90",265,0,0,"2026-07-15 20:18:25",45,NULL,0a679cb2-58a8-4507-b51a-5e5b84ffb13f
4388,"Printer/Plotter - 92",Printer/Plotter,Printer/Plotter,265,0,0,"2026-07-15 20:18:25",45,NULL,1c2ed5fa-8f0d-4b98-b7e8-134db888f61f
4389,"yRent/RPO Equipment - 99","yRent/RPO Equipment","yRent/RPO Equipment",265,0,0,"2026-07-15 20:18:25",45,NULL,e2d705d4-6c3e-4967-827e-4b5bb52d8aff
4390,"Crane Truck - 65-100 Ton - 100","Crane Truck - 65-100 Ton","Crane Truck - 65-100 Ton",265,0,0,"2026-07-15 20:18:25",45,NULL,75c16432-e5e5-4f72-bda9-5689f1c45963
4391,"Generator (15-20KW) - 854","Generator (15-20KW)","Generator (15-20KW)",265,0,0,"2026-07-15 20:18:25",45,NULL,8c61998b-7f85-40f7-8ef0-c33215a147e3
4392,"Office/Lab Container 40' - 929","Office/Lab Container 40'","Office/Lab Container 40'",265,0,0,"2026-07-15 20:18:26",45,NULL,f3dc2524-cc3b-4128-a550-2438330d1013
