laborCodeId,jobId,createdTimestampUtc,laborCode,description,note,accountingCode,estimatingCode,isActive,jobRegularChargeRatePerHour,jobOvertimeChargeRatePerHour,jobDoubleTimeChargeRatePerHour,uuid
1297,NULL,NULL,002.CN,"Operator GRP1B",NULL,CN,NULL,1,NULL,NULL,NULL,4882d7c0-b5c8-4788-8d94-afe439b5548b
1298,NULL,NULL,002.SP5,"Operator FM1A Night shift",NULL,SP5,NULL,1,NULL,NULL,NULL,334dcb8d-c3a0-4537-91d5-0dee39498fcf
1299,NULL,NULL,002.GRP2,"Operator Group 2",NULL,GRP2,NULL,1,NULL,NULL,NULL,b13eb3ac-3bfc-4f8b-bb81-07caed7863aa
1300,NULL,NULL,002.SP1,"Operator Special Rate",NULL,SP1,NULL,1,NULL,NULL,NULL,6f399d00-9aaf-4f0f-92a6-f6e84836c8a2
1301,NULL,NULL,002.GR1ASP,"Oper Group 1A plus $1.00",NULL,GR1ASP,NULL,1,NULL,NULL,NULL,fb71190f-13f4-476d-b909-8e64bb138ff3
1302,NULL,NULL,001SW.FM5,"Carpenter Foreman Special",NULL,FM5,NULL,1,NULL,NULL,NULL,1eaf5291-b085-4025-a66c-a52b187adb64
1303,NULL,NULL,002.SP,"Operator Group 1 Special Rate",NULL,SP,NULL,1,NULL,NULL,NULL,84f9577b-912e-4b55-a147-51f7b5934bda
1304,NULL,NULL,002.GRP4,"Operator Group 4",NULL,GRP4,NULL,1,NULL,NULL,NULL,7ac2713d-121a-44d6-b66e-e87a5a194093
1305,NULL,NULL,002.GR2S,"Operator Grp 2 Special",NULL,GR2S,NULL,1,NULL,NULL,NULL,7b5517d7-d6fc-4193-932d-b7d2dbdb0783
1306,NULL,NULL,002.GR1S,"Operator CN Night shift",NULL,GR1S,NULL,1,NULL,NULL,NULL,bc0a0e30-fc60-477d-a85d-1b9404c8bf50
1307,NULL,NULL,002.SP3,"Operator night shift GR1A",NULL,SP3,NULL,1,NULL,NULL,NULL,ff2da30a-7882-4252-b756-b06cf40e72a8
1308,NULL,NULL,002.SP2,"OPR ENG 139",NULL,SP2,NULL,1,NULL,NULL,NULL,27ac82e2-2c94-44e1-b533-af89142ecf17
1309,NULL,NULL,002.GRP3,"Operator Group 3",NULL,GRP3,NULL,1,NULL,NULL,NULL,296a5c92-cf0d-4346-bec3-7ca28b4a0ccf
1310,NULL,NULL,002.SP6,"Operator Special Rate",NULL,SP6,NULL,1,NULL,NULL,NULL,dde0303c-88eb-4d4e-bf42-41b50dc5c91f
1311,NULL,NULL,002/AP.A75,"Operator Apprentice 75%",NULL,A75,NULL,1,NULL,NULL,NULL,dcecc5fa-d2a1-4d8b-a3e2-a142892abb95
1312,NULL,NULL,002/AP.A70,"Operator Apprentice 70%",NULL,A70,NULL,1,NULL,NULL,NULL,a9358192-6329-4ac3-a6b1-7e114676e797
1313,NULL,NULL,002.XSP,"OPERATOR - SPECIAL",NULL,XSP,NULL,1,NULL,NULL,NULL,94ecd360-27af-4242-ac66-89e969870ed2
1314,NULL,NULL,002/AP.A90,"Operator Apprentice 90%",NULL,A90,NULL,1,NULL,NULL,NULL,d0ee5616-767b-45a6-b99b-1b3937ac4eb5
1315,NULL,NULL,002/AP.ASP1,"Operator Special Rate",NULL,ASP1,NULL,1,NULL,NULL,NULL,ee31baaf-114b-415c-8773-333f1fcd7c48
1316,NULL,NULL,002/AP.A80,"Operator Apprentice 80%",NULL,A80,NULL,1,NULL,NULL,NULL,05e235da-8aeb-4d32-acbe-e7054c386a8f
1317,NULL,NULL,002/AP.ASP,"Operator Apprentice Special",NULL,ASP,NULL,1,NULL,NULL,NULL,8c9d002b-5f5a-4f72-a183-cc59a0a5f262
1318,NULL,NULL,002/AP.SP2,"DON''T USE",NULL,SP2,NULL,1,NULL,NULL,NULL,67f5de1d-cf11-4782-a8fd-80b77048bd2e
1319,NULL,NULL,002/AP.SP1,"Operator Special Rate",NULL,SP1,NULL,1,NULL,NULL,NULL,674dece5-5188-45f4-afcb-dcb86b29cf1a
