equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2895,NULL,NULL,45,566100,"CAT 279D3 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,8c16bf0f-9ef2-4a8d-abda-64c51d4e8713
2896,NULL,NULL,45,565600,"CAT 305 EXCAVATOR",1O,NULL,NULL,1,NULL,a4a78c9a-ed1b-4ace-b831-ee723ec4c71f
2897,NULL,NULL,45,566300,"CAT 335 EXCAVATOR",1O,NULL,NULL,1,NULL,fb3ef90d-fbcd-4e51-b580-02514a45182e
2898,NULL,NULL,45,566400,"CAT 325-07HT EXCAVATOR",1O,NULL,NULL,1,NULL,74048801-78d2-4b71-aea2-db6d1763fa9c
2899,NULL,NULL,45,565900,"CAT 336-08HT EXCAVATOR",1O,NULL,NULL,1,NULL,8418cb7d-5b34-41e7-af4a-2bff46e6efa1
2900,NULL,NULL,45,566000,"CAT 299D3 TRACK SKIDSTEER",1M,NULL,NULL,1,NULL,69fe06d4-66d2-4df9-9aeb-5735d96ec697
2901,NULL,NULL,45,566500,"CAT 336-08HT EXCAVATOR",1O,NULL,NULL,1,NULL,f8cba7f4-bf44-4573-b807-56395d467fea
2902,NULL,NULL,45,566700,"CAT 265 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,d944b657-b0aa-4c4d-9e2a-aeb17babb6ec
2903,NULL,NULL,45,566800,"CAT 265 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,f4bb999d-9f91-4e02-a933-7aeffd6e6edd
2904,NULL,NULL,45,567300,"CAT 320 EXCAVATOR",1O,NULL,NULL,1,NULL,d22b25a7-e2e9-478b-94b2-1f4cef79e483
2905,NULL,NULL,45,566900,"CAT 140 GRADER",1O,NULL,NULL,1,NULL,4ab69a93-10a1-4ee2-a82c-3b96caee40d2
